"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
60,69.32142857,388.1785714,372.8571429,0.210721689,3.629166333,3.466666
90,11.76190476,422.6666667,285.547619,0.067465972,3.434482069,3.483333
104,34.69230769,405.8461538,334.9615385,0.272334222,3.5249996,3.4
150,48.52173913,368.0434783,382.6304348,1.208914715,2.8999996,3.15
154,65.28,402.28,404.64,0.083661748,3.3499995,3.76923
163,59.07407407,474.9259259,445.4814815,0.894180638,3.896774032,4
186,51.10526316,419.4736842,373.2631579,0.129168381,3.925806129,3.888888
196,26.85185185,414.2962963,380.7222222,0.142839826,3.58749975,3.65
201,36.29411765,391.3529412,396.6176471,0.138447266,2.738461154,2.35
206,111.1851852,351.4814815,376.3148148,0.057496302,3.681818,3.95
209,29.85714286,439.7142857,280.125,0.091071864,3.608695435,3.73125
304,82.57142857,362.2857143,319.5952381,0.370200694,2.9484,2.64
321,44.03703704,413.7407407,432.1851852,0.121005506,3.048181818,3.67
337,37.85714286,411.6428571,445.2321429,0.089489026,3.455,2.97
398,84.82142857,446.1785714,364.6071429,0.187559823,3.13,3
400,35.67857143,421.7857143,441.1785714,0.566819845,3.0425,3.53
406,34.67857143,395.3571429,373.9821429,0.162916095,3.7,3.32
415,51.57142857,360.75,374.9642857,0.102869989,2.206363636,2.54
434,25.88888889,438,402.1666667,0.407269965,3.563214286,4
440,30.21428571,438.4642857,313.6785714,0.017128487,3.818,3.63
443,53.89285714,383.7142857,383.4107143,0.039699741,2.961363636,3.45
467,23.71428571,438.6428571,266.75,0.0188344,3.728181818,3.5
472,61.07142857,404.3928571,332.125,0.136234187,2.99625,1.8
481,29.82142857,425.7857143,350.5892857,0.189820911,3.735,3.4
488,18.22222222,357.3333333,402,0.376458333,3.149333333,2.5
496,19.85,507.1,322.1,0.021804401,3.7075,3.1
500,44.16,447.56,400.04,0.199746817,3.4136,3.47
521,47.8,386.2,337.9,0.172469221,3.456,3.15
535,58.96,384.6,341.88,0.121737558,3.075,2.46
543,70.60714286,417.1785714,361.0714286,0.152323579,2.617058824,3.35
560,33.46428571,509.2857143,405.1607143,0.051465478,3.155769231,3.47
14847,51.03333333,456.5666667,385.4333333,0.131812657,3.333166667,3.666833333
17020,59.67857143,429.6071429,425.3392857,0.209351852,3.166666667,3.5
18707,57,419.9,310.9,0.052274078,2.9334,3.277833333
51723,30.5,273.9166667,455.75,0.265968809,2.8002,3.4668
72885,45.76666667,356.8333333,414.4166667,0.083405668,3.3334,3.2666
79897,52.33333333,384.2,369.4833333,0.079217532,3.722166667,3.722333333
92566,39.74074074,327.5185185,362.2037037,0.161342456,3.6666,3.809571429
94455,40.84615385,275.8461538,382.0961538,0.100262667,3.055666667,3.333333333
334,18.48275862,315.6206897,436.1896552,0.171855513,3.2,3.63
424,23.82142857,480.6071429,327.4642857,0.096448331,3.140833333,2.8
293,11.74074074,370.037037,500.3333333,0.050011917,4,3.76
294,49.72,406.76,359.48,0.047560282,4,3.55
297,178.4705882,253.7647059,398.2352941,0.163861762,3,3.59
303,26.14814815,411.8518519,532.1111111,0.785404339,3.8,3.46
304,71.62962963,408.1111111,354.037037,0.153815746,3.17,3.5
315,19.41666667,430.125,471.7083333,0.415880067,4,3.61
321,35.4,357.72,431.52,0.10691358,4,3.44
333,52.88888889,402.1481481,444.2777778,0.045117932,3.79,4
337,10.55172414,367.7586207,425.2931034,0.188245111,3.57,3.81
338,35.62962963,366.4074074,406.2037037,0.645294214,3.7,3.57
342,23.5,455.6153846,434.0961538,0.109858667,4,4
343,40.31578947,330.8947368,551.2105263,0.757776063,2.92,3.12
350,10.96153846,406.7307692,391.3653846,0.347546667,3.74,3.81
376,26.89285714,455.4285714,308.4821429,0.024228014,3.48,2.98
378,28.28571429,299.0952381,414.952381,0.540711111,4,4
379,24.5,343.0769231,493.5192308,0.173659556,3.07,4
381,19,398,502.7272727,0.464511111,4,4
390,30.72222222,283.1111111,585.1944444,1.98878316,3.81,3.56
395,13.89285714,338.6785714,424.4285714,0.134137327,3.4,3.81
402,46.16,427.28,487.52,0.125710841,3.76,3.72
412,58.76923077,397.9230769,374.5769231,0.124438657,3.6,4
413,47.14285714,413.7857143,408,0.197647843,3.79,3
422,34.52,373.88,383.36,0.062386671,3.29,3.28
427,82.26666667,452.5333333,407.0666667,0.610249433,4,4
430,21.17241379,301.3103448,486.2241379,0.209741355,3.58,3.24
452,16,394.8275862,342.7586207,0.028315264,4,4
454,57.4,384.96,369,0.298978588,3.12,3.6
461,8.464285714,424.6785714,373.9464286,0.153550907,3.81,3.59
463,34.2962963,341.4814815,409.537037,0.253501397,3.49,3.6
466,36.78947368,349.6315789,540.6052632,0.806630658,2.65,3.49
473,36.95833333,400.5416667,405.7916667,0.829391934,3.25,2.49
476,24.67857143,406.75,385.2857143,0.107086953,3.52,3.45
483,85.79310345,336.1724138,477.0689655,0.718650794,3.78,3.8
487,136.1875,219.875,396.46875,0.522706173,2.78,1.5
489,19.10714286,481.1785714,349.1964286,0.042136488,4,4
507,7.052631579,428.3684211,361.6052632,0.111303155,3.69,3.76
522,17.94117647,421.3529412,453.1470588,0.083909505,4,3.53
525,45.4,351.2,476.64,0.900247396,3.55,2.6
559,32.77777778,370.4814815,627.5925926,0.376793639,3.57,3
572,62.38095238,347.8571429,533.1428571,2.762805556,3.8,3.59
595,54.4137931,408.2758621,348.6896552,0.044082341,2.49,2.84
644,64.61538462,415.7692308,432.0192308,2.196203556,3.17,2.8
671,18.53846154,414.6923077,424.9230769,0.036821333,3.8,4
4,28.15384615,447.5,372.3461538,0.117315556,3.7666665,3.5
8,61.56,456.72,364.8,0.553016975,3.5999996,3.127777
14,30.53571429,518.5714286,342.9107143,0.044828151,3.533333,3.9
15,31.75,493.5714286,260.2142857,0.064903978,3.746153846,3.9
20,152.6428571,274.1785714,315.6071429,0.112528959,2.882758207,2.75
22,54.11538462,494.3846154,305.1730769,0.128678222,3.15185137,3.1
23,35.71428571,444.8928571,314.6607143,0.068741046,2.915384,2.933333
24,54.89285714,382.1785714,477.2857143,0.06241579,3.451851556,3.8
26,29.75,467.1875,392.5,0.141044444,2.916666,1.7
30,41.77777778,438.7037037,405.5555556,0.602623274,3.33571375,3.933333
31,14.81481481,459.4814815,281.1481481,0.083347304,4,4
35,36.53571429,441.0357143,345,0.307469517,3.532257903,3.6
46,88.11538462,328.8846154,497.3269231,0.457633333,3.651515121,3.344444
51,64,362.125,508.5,1.742653061,3.757575182,3.833333
55,46.44444444,255.3703704,560.9814815,2.172514793,3.346428179,2.5
58,37.92592593,511.2592593,320.462963,0.060625,3.583333,3.55
62,54.59090909,422.2727273,640.2272727,3.360042202,3.7799996,3.266666
64,34.75,442,404.05,0.439572176,3.8166665,3.933333
67,18.81481481,402.5925926,342.3333333,0.104858646,3.912902516,3.85
68,24.78571429,430.1428571,317.75,0.038330285,3.528571429,3.653846
69,17.08333333,328.1666667,430.875,1.759210285,2.939285286,1.7
73,18.22222222,418.1666667,325.25,0.175588235,4,3.972727
74,41.55555556,432.1851852,478.0925926,0.080836621,3.6999995,3.623076
75,36.92857143,487.4642857,305.9464286,0.079898643,3.82,3.66923
87,18.92857143,408.75,297.3928571,0.074575903,3.749999643,3.875
91,67.57142857,369.5357143,358.4285714,0.108675888,3.818749563,3.752941
92,27.42857143,485.7142857,314.2857143,0.155477442,3.077418968,3.230769
93,114,485.1666667,497,5.344766667,3.856521391,3.95
102,50.07142857,497.3571429,507.9285714,0.607304405,2.603447931,3.9
103,6.625,383.6666667,327.125,0.129575719,3.913792345,4
106,44.27272727,291.4545455,605.8636364,2.027127778,3.45999992,3.566666
109,51.03846154,371.0769231,330.9615385,0.106907556,3.315151182,3.721428
