"id","race","gender","firstgen","total_sleep","university","cum_gpa","term_gpa","midpoint_sleep","naptime"
473,"Underrepresented","Female","First-Gen",410.1111111,"University of Washington SP 2019",3.662727273,3.35,280.537037,50.37037037
504,"Underrepresented","Female","First-Gen",335.6296296,"University of Washington SP 2019",2.850714286,2.97,377.9259259,41.44444444
517,"Not Underrepresented","Female","First-Gen",511.8,"University of Washington SP 2019",3.24,2.8,392.28,32.12
526,"Not Underrepresented","Female","First-Gen",409.75,"University of Washington SP 2019",3.26,3.52,407.5178571,30
551,"Not Underrepresented","Female","First-Gen",414.7692308,"University of Washington SP 2019",3.426551724,3.37,426.7692308,70.07692308
305,"Underrepresented","Male","First-Gen",346.8095238,"Carnegie Mellon SP 2018",2.37,2.54,541.2619048,78.14285714
322,"Underrepresented","Male","First-Gen",447.3793103,"Carnegie Mellon SP 2018",4,3.81,267.7758621,23.44827586
615,"Not Underrepresented","Male","First-Gen",250.3913043,"Carnegie Mellon SP 2018",3.58,2.55,628.0434783,80.82608696
617,"Underrepresented","Male","First-Gen",320.952381,"Carnegie Mellon SP 2018",4,3.63,471.6666667,18.28571429
48,"Not Underrepresented","Male","First-Gen",329.037037,"University of Washington SP 2018",3.627272545,3.5,389.2222222,50.88888889
60,"Underrepresented","Male","First-Gen",388.1785714,"University of Washington SP 2018",3.629166333,3.466666,372.8571429,69.32142857
90,"Underrepresented","Male","First-Gen",422.6666667,"University of Washington SP 2018",3.434482069,3.483333,285.547619,11.76190476
104,"Underrepresented","Male","First-Gen",405.8461538,"University of Washington SP 2018",3.5249996,3.4,334.9615385,34.69230769
150,"Underrepresented","Male","First-Gen",368.0434783,"University of Washington SP 2018",2.8999996,3.15,382.6304348,48.52173913
154,"Not Underrepresented","Male","First-Gen",402.28,"University of Washington SP 2018",3.3499995,3.76923,404.64,65.28
163,"Not Underrepresented","Male","First-Gen",474.9259259,"University of Washington SP 2018",3.896774032,4,445.4814815,59.07407407
186,"Not Underrepresented","Male","First-Gen",419.4736842,"University of Washington SP 2018",3.925806129,3.888888,373.2631579,51.10526316
196,"Underrepresented","Male","First-Gen",414.2962963,"University of Washington SP 2018",3.58749975,3.65,380.7222222,26.85185185
201,"Not Underrepresented","Male","First-Gen",391.3529412,"University of Washington SP 2018",2.738461154,2.35,396.6176471,36.29411765
206,"Underrepresented","Male","First-Gen",351.4814815,"University of Washington SP 2018",3.681818,3.95,376.3148148,111.1851852
209,"Not Underrepresented","Male","First-Gen",439.7142857,"University of Washington SP 2018",3.608695435,3.73125,280.125,29.85714286
304,"Not Underrepresented","Male","First-Gen",362.2857143,"University of Washington SP 2019",2.9484,2.64,319.5952381,82.57142857
321,"Underrepresented","Male","First-Gen",413.7407407,"University of Washington SP 2019",3.048181818,3.67,432.1851852,44.03703704
337,"Underrepresented","Male","First-Gen",411.6428571,"University of Washington SP 2019",3.455,2.97,445.2321429,37.85714286
398,"Not Underrepresented","Male","First-Gen",446.1785714,"University of Washington SP 2019",3.13,3,364.6071429,84.82142857
400,"Underrepresented","Male","First-Gen",421.7857143,"University of Washington SP 2019",3.0425,3.53,441.1785714,35.67857143
406,"Not Underrepresented","Male","First-Gen",395.3571429,"University of Washington SP 2019",3.7,3.32,373.9821429,34.67857143
415,"Underrepresented","Male","First-Gen",360.75,"University of Washington SP 2019",2.206363636,2.54,374.9642857,51.57142857
434,"Not Underrepresented","Male","First-Gen",438,"University of Washington SP 2019",3.563214286,4,402.1666667,25.88888889
440,"Not Underrepresented","Male","First-Gen",438.4642857,"University of Washington SP 2019",3.818,3.63,313.6785714,30.21428571
443,"Underrepresented","Male","First-Gen",383.7142857,"University of Washington SP 2019",2.961363636,3.45,383.4107143,53.89285714
467,"Underrepresented","Male","First-Gen",438.6428571,"University of Washington SP 2019",3.728181818,3.5,266.75,23.71428571
472,"Underrepresented","Male","First-Gen",404.3928571,"University of Washington SP 2019",2.99625,1.8,332.125,61.07142857
481,"Not Underrepresented","Male","First-Gen",425.7857143,"University of Washington SP 2019",3.735,3.4,350.5892857,29.82142857
488,"Underrepresented","Male","First-Gen",357.3333333,"University of Washington SP 2019",3.149333333,2.5,402,18.22222222
496,"Underrepresented","Male","First-Gen",507.1,"University of Washington SP 2019",3.7075,3.1,322.1,19.85
500,"Underrepresented","Male","First-Gen",447.56,"University of Washington SP 2019",3.4136,3.47,400.04,44.16
